 Experiment number: ,,#209
 Experiment date: ,,November-22-2022
 Animal Strain: ,,
 Animal Birthdate: ,,November-22-2022
 Color of Animal: ,,White
 Size of Animal: ,,Regular
Analysis Length:,,"0"""
Analysis Start@:,,"0"""
Dstance Traveled:,,    455.14(meters)

Behavior Profile-Behavior List
From Frame,To Frame,Length(frames),Behavior,Comment,
250818,250974,156,Remain Low,Floor(Night),
250974,250980,6,Turn,Floor(Night),
250980,251070,90,Remain Low,Floor(Night),
251070,251079,9,Turn,face-front/back,Floor(Night),
251079,251343,264,Remain Low,Floor(Night),
251343,251349,6,Turn,Floor(Night),
251349,251355,6,Turn,face-front/back,Floor(Night),
251355,251601,246,Remain Low,Floor(Night),
251601,251607,6,Turn,Floor(Night),
251607,251649,42,Remain Low,Floor(Night),
251649,251655,6,Turn,face-front/back,Floor(Night),
251655,251823,168,Remain Low,Floor(Night),
251823,251829,6,Turn,Floor(Night),
251829,251871,42,Remain Low,Floor(Night),
251871,251877,6,Turn,face-front/back,Floor(Night),
251877,251979,102,Remain Low,Floor(Night),
251979,251985,6,Turn,Floor(Night),
251985,251991,6,Turn,face-front/back,Floor(Night),
251991,252003,12,Remain Low,Floor(Night),
252003,252009,6,Turn,Floor(Night),
252009,252015,6,Remain Low,Floor(Night),
252015,252021,6,Turn,face-front/back,Floor(Night),
252021,252117,96,Remain Low,Floor(Night),
252117,252225,108,Pause,Night,
252225,252231,6,Turn,Floor(Night),
252231,252700,469,Groom,PLF<-HdW,Floor(Night),
252700,252717,17,Remain Low,Floor(Night),
253122,253423,301,Groom,PLF<-HdW,Floor(Night),
253423,253430,7,Remain Low,Floor(Night),
253430,253436,6,Turn,Floor(Night),
253436,253442,6,Turn,Floor(Night),
253442,253448,6,Turn,Floor(Night),
253448,253472,24,Remain Low,Floor(Night),
253472,253478,6,Turn,Floor(Night),
253478,253484,6,Turn,Floor(Night),
253484,253490,6,Turn,Floor(Night),
253490,253502,12,Remain Low,Floor(Night),
253502,253508,6,Turn,Floor(Night),
253508,253514,6,Turn,Floor(Night),
253514,253520,6,Remain Low,Floor(Night),
253520,253526,6,Turn,Floor(Night),
253526,253580,54,Remain Low,Floor(Night),
253580,253586,6,Turn,face-front/back,Floor(Night),
253586,253592,6,Turn,Floor(Night),
253592,253682,90,Remain Low,Floor(Night),
253682,253688,6,Turn,face-front/back,Floor(Night),
253688,253712,24,Remain Low,Floor(Night),
253712,253718,6,Turn,Floor(Night),
253718,253847,129,Remain Low,Floor(Night),
253847,253859,12,Stationary,Floor(Night),
253859,254046,187,Stretch Body,RightWall(Night),
254046,254536,490,Groom,PLF,RightWall(Night),
254536,254624,88,Stretch Body,RightWall(Night),
254624,254636,12,Stationary,RightWall(Night),
254636,254684,48,Stretch Body,RightWall(Night),
254684,254702,18,Unknown Behavior,RightWall(Night),
254702,254726,24,Stretch Body,RightWall(Night),
254726,254744,18,Stationary,RightWall(Night),
254744,254792,48,Stretch Body,RightWall(Night),
254792,255161,369,Groom,HdW,RightWall(Night),
255161,255189,28,Remain Low,RightWall(Night),
255189,255562,373,Groom,PLR<-HdW,RightWall(Night),
255562,255641,79,Remain Low,RightWall(Night),
255641,255647,6,Turn,RightWall(Night),
255647,255659,12,Remain Low,face-front/back,RightWall(Night),
255659,255665,6,Turn,RightWall(Night),
255665,255689,24,Remain Low,RightWall(Night),
255689,255695,6,Turn,RightWall(Night),
255695,255701,6,Remain Low,RightWall(Night),
255701,255707,6,Turn,RightWall(Night),
255707,255713,6,Remain Low,face-front/back,RightWall(Night),
255713,255719,6,Turn,RightWall(Night),
255719,255725,6,Rear up Partially,RightWall(Night),
255725,255731,6,Remain Partially Reared,RightWall(Night),
255731,255737,6,Come Down From Partially Reared,RightWall(Night),
255737,255747,10,Turn,RightWall(Night),
255747,255788,41,Remain Low,RightWall(Night),
255788,255794,6,Turn,RightWall(Night),
255794,255908,114,Remain Low,RightWall(Night),
255908,255920,12,Turn,face-front/back,RightWall(Night),
255920,255932,12,Remain Low,RightWall(Night),
255932,255938,6,Turn,RightWall(Night),
255938,255947,9,Turn,face-front/back,RightWall(Night),
255947,255953,6,Turn,RightWall(Night),
255953,255959,6,Turn,face-front/back,RightWall(Night),
255959,255971,12,Remain Low,RightWall(Night),
255971,255977,6,Turn,face-front/back,RightWall(Night),
255977,255983,6,Remain Low,RightWall(Night),
255983,255995,12,Turn,face-front/back,RightWall(Night),
255995,256043,48,Remain Low,RightWall(Night),
256043,256049,6,Turn,RightWall(Night),
256049,256139,90,Remain Low,RightWall(Night),
256139,256145,6,Turn,RightWall(Night),
256145,256151,6,Turn,face-front/back,RightWall(Night),
256151,256157,6,Turn,RightWall(Night),
256157,256199,42,Remain Low,RightWall(Night),
256199,256205,6,Turn,face-front/back,RightWall(Night),
256205,256259,54,Remain Low,RightWall(Night),
256259,256265,6,Turn,RightWall(Night),
256265,256271,6,Turn,face-front/back,RightWall(Night),
256271,256277,6,Remain Low,RightWall(Night),
256277,256283,6,Turn,RightWall(Night),
256283,256313,30,Remain Low,RightWall(Night),
