 Experiment number: ,,#210
 Experiment date: ,,November-22-2022
 Animal Strain: ,,
 Animal Birthdate: ,,November-22-2022
 Color of Animal: ,,White
 Size of Animal: ,,Regular
Analysis Length:,,"0"""
Analysis Start@:,,"0"""
Dstance Traveled:,,    549.25(meters)

Behavior Profile-Behavior List
From Frame,To Frame,Length(frames),Behavior,Comment,
378128,378149,21,Turn,face-front/back,LeftWall(Night),
378149,378257,108,Remain Low,LeftWall(Night),
378257,378263,6,Turn,LeftWall(Night),
378263,378479,216,Remain Low,LeftWall(Night),
378479,378491,12,Walk Right,Floor(Night),
378491,378497,6,Walk Left,LeftWall(Night),
378497,378521,24,Stretch Body,LeftWall(Night),
378521,378533,12,Walk Slowly,Floor(Night),
378533,378539,6,Remain Low,Floor(Night),
378539,378545,6,Stretch Body,LeftWall(Night),
378545,378557,12,Remain Low,LeftWall(Night),
378557,378563,6,Walk Right,Floor(Night),
378563,378569,6,Remain Low,Floor(Night),
378569,378581,12,Walk Slowly,Floor(Night),
378581,378617,36,Walk Right,Floor(Night),
378617,379013,396,Remain Low,RightWall(Night),
379013,379019,6,Turn,face-front/back,RightWall(Night),
379019,379025,6,Turn,RightWall(Night),
379025,379031,6,Remain Low,RightWall(Night),
379031,379043,12,Turn,face-front/back,RightWall(Night),
379043,379049,6,Turn,RightWall(Night),
379049,379274,225,Remain Low,RightWall(Night),
379274,379280,6,Rear up Partially,RightWall(Night),
379280,379286,6,Remain Partially Reared,RightWall(Night),
379286,379292,6,Come Down From Partially Reared,RightWall(Night),
379292,379298,6,Rear up Partially,RightWall(Night),
379298,379304,6,Come Down From Partially Reared,RightWall(Night),
379304,379364,60,Remain Low,RightWall(Night),
379364,379370,6,Turn,face-front/back,RightWall(Night),
379370,379447,77,Remain Low,RightWall(Night),
379447,380022,575,Groom,PLR,RightWall(Night),
380022,380065,43,Remain Low,RightWall(Night),
380065,380071,6,Turn,face-front/back,RightWall(Night),
380071,380137,66,Remain Low,RightWall(Night),
380137,380143,6,Turn,RightWall(Night),
380143,380149,6,Remain Low,RightWall(Night),
380149,380155,6,Turn,face-front/back,RightWall(Night),
380155,380161,6,Remain Low,RightWall(Night),
